,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
54,55,1,main,205,205,412.53777,412.545,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269419,"POLYGON ((121.53328472 15.749993700000001, 121.537451385 15.749993700000001, 121.537451385 15.745827035000001, 121.53328472 15.745827035000001, 121.53328472 15.749993700000001))"
55,56,1,main,205,205,546.50389,546.49,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269422,"POLYGON ((121.545784715 15.749993700000001, 121.54995138 15.749993700000001, 121.54995138 15.745827035000001, 121.545784715 15.745827035000001, 121.545784715 15.749993700000001))"
56,57,1,main,205,205,335.76795,335.755,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269426,"POLYGON ((121.562451375 15.749993700000001, 121.56661804 15.749993700000001, 121.56661804 15.745827035000001, 121.562451375 15.745827035000001, 121.562451375 15.749993700000001))"
57,58,1,main,205,205,399.8043,399.805,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269430,"POLYGON ((121.579118035 15.749993700000001, 121.5832847 15.749993700000001, 121.5832847 15.745827035000001, 121.579118035 15.745827035000001, 121.579118035 15.749993700000001))"
58,59,1,main,205,205,170.70849,170.695,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3269438,"POLYGON ((121.612451355 15.749993700000001, 121.61661802 15.749993700000001, 121.61661802 15.745827035000001, 121.612451355 15.745827035000001, 121.612451355 15.749993700000001))"
59,60,1,main,205,205,196.04373,196.035,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3271927,"POLYGON ((121.50828473 15.745827035000001, 121.512451395 15.745827035000001, 121.512451395 15.741660370000002, 121.50828473 15.741660370000002, 121.50828473 15.745827035000001))"
60,61,1,main,205,205,428.80108,428.785,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3271933,"POLYGON ((121.53328472 15.745827035000001, 121.537451385 15.745827035000001, 121.537451385 15.741660370000002, 121.53328472 15.741660370000002, 121.53328472 15.745827035000001))"
61,62,1,main,205,205,358.91394,358.925,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3271937,"POLYGON ((121.54995138 15.745827035000001, 121.554118045 15.745827035000001, 121.554118045 15.741660370000002, 121.54995138 15.741660370000002, 121.54995138 15.745827035000001))"
62,63,1,main,205,205,393.28863,393.295,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3271942,"POLYGON ((121.570784705 15.745827035000001, 121.57495137 15.745827035000001, 121.57495137 15.741660370000002, 121.570784705 15.741660370000002, 121.570784705 15.745827035000001))"
63,64,1,main,205,205,147.46368,147.455,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3271950,"POLYGON ((121.604118025 15.745827035000001, 121.60828469 15.745827035000001, 121.60828469 15.741660370000002, 121.604118025 15.741660370000002, 121.604118025 15.745827035000001))"
64,65,1,main,205,205,311.12541,311.115,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3274448,"POLYGON ((121.537451385 15.741660370000002, 121.54161805 15.741660370000002, 121.54161805 15.737493705, 121.537451385 15.737493705, 121.537451385 15.741660370000002))"
65,66,1,main,205,205,454.17586,454.16,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3274452,"POLYGON ((121.554118045 15.741660370000002, 121.55828471 15.741660370000002, 121.55828471 15.737493705, 121.554118045 15.737493705, 121.554118045 15.741660370000002))"
66,67,1,main,205,205,262.82522,262.815,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3274457,"POLYGON ((121.57495137 15.741660370000002, 121.579118035 15.741660370000002, 121.579118035 15.737493705, 121.57495137 15.737493705, 121.57495137 15.741660370000002))"
67,68,1,main,205,205,152.61085,152.6,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3274469,"POLYGON ((121.62495135 15.741660370000002, 121.629118015 15.741660370000002, 121.629118015 15.737493705, 121.62495135 15.737493705, 121.62495135 15.741660370000002))"
68,69,1,main,205,205,322.8533,322.84,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3276964,"POLYGON ((121.545784715 15.737493705, 121.54995138 15.737493705, 121.54995138 15.73332704, 121.545784715 15.73332704, 121.545784715 15.737493705))"
